-BEGIN HEADER-,,,,,,,,,,,
,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 03/31/2023 ,,,,,,,,,,,
Location: Latitude  -0.5134   Longitude -66.9206 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 89.48 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,1,1,5.48,6.67,0.55,403.19,106.61,129.22,13.85,0.41,2.2
2021,1,2,3.47,6.73,0.35,415.65,67.09,131.23,9.53,0.3,1.59
2021,1,3,4.94,6.57,0.49,410.48,96.87,127.56,12.78,0.4,2.09
2021,1,4,2.33,6.42,0.23,409.88,45.46,123.2,6.4,0.2,1.02
2021,1,5,4.75,6.56,0.48,411.55,92.09,126.74,12.22,0.38,2
2021,1,6,4.57,6.82,0.45,411.75,89.4,132.95,12.17,0.39,2.04
2021,1,7,4.49,6.69,0.45,413.61,87.18,129.64,11.8,0.38,1.98
2021,1,8,3.6,6.73,0.36,412,70.86,130.71,9.89,0.34,1.83
2021,1,9,4.12,6.8,0.41,403.51,80.66,132.38,11.03,0.35,1.84
2021,1,10,5.72,6.6,0.57,404.08,111.26,127.52,14.2,0.45,2.35
2021,1,11,5.32,6.84,0.53,410.55,104.03,133.73,13.84,0.44,2.3
2021,1,12,5.57,6.87,0.55,411.84,109.34,134.28,14.55,0.46,2.44
2021,1,13,4.7,6.32,0.47,412.63,89.91,120.8,11.56,0.35,1.81
2021,1,14,4.36,6.83,0.43,413.66,85.13,132.93,11.86,0.38,2
2021,1,15,5.53,6.92,0.55,410.78,108.56,135.4,14.5,0.46,2.44
2021,1,16,4.89,6.97,0.48,412.87,95.64,136.33,13.1,0.41,2.18
2021,1,17,4.86,7,0.48,410.59,95.65,137.02,13.02,0.42,2.23
2021,1,18,6.53,7.02,0.65,408.02,128.23,137.3,16.59,0.52,2.76
2021,1,19,5.03,6.8,0.5,409.36,97.89,132.39,13.24,0.42,2.2
2021,1,20,4.16,6.61,0.41,414.05,81.56,127.58,11.01,0.37,1.9
2021,1,21,4.09,6.85,0.41,415.98,80.48,133.66,11.23,0.38,1.95
2021,1,22,4.81,6.85,0.48,416.62,94.13,133.36,12.68,0.41,2.16
2021,1,23,3.02,6.73,0.3,417.36,59.55,130.52,8.25,0.26,1.33
2021,1,24,3.83,6.95,0.38,412.58,75.22,135.55,10.3,0.33,1.69
2021,1,25,4.51,7.04,0.45,415.98,88.71,138.09,12.34,0.4,2.09
2021,1,26,5.04,6.56,0.49,412.75,98.48,127.04,12.84,0.41,2.13
2021,1,27,5,6.72,0.49,411.48,97.57,130.43,12.84,0.41,2.19
2021,1,28,4,6.87,0.39,420.78,77.79,133.98,10.96,0.37,1.95
2021,1,29,6.12,6.68,0.59,405.83,118.6,129.01,15.04,0.5,2.68
2021,1,30,5.32,6.87,0.52,416.51,103.66,133.62,13.72,0.46,2.47
2021,1,31,4.83,6.85,0.47,417.73,94.92,133.6,12.67,0.44,2.37
2021,2,1,2.81,6.83,0.27,422.42,56.33,132.57,8.04,0.28,1.49
2021,2,2,5.08,6.92,0.49,415.3,100.33,135.23,13.45,0.47,2.48
2021,2,3,4.84,6.91,0.47,419.35,95.64,135.33,12.96,0.46,2.47
2021,2,4,5.7,7.04,0.55,408.46,111.48,137.04,14.64,0.5,2.71
2021,2,5,1.42,6.89,0.14,413.93,29.33,134.29,4.31,0.16,0.81
2021,2,6,5.18,6.75,0.5,407.5,101.42,130.58,13.33,0.46,2.45
2021,2,7,4.58,6.52,0.45,412.27,89.48,125.37,11.58,0.39,2.11
2021,2,8,5.01,6.83,0.48,416.23,98.42,133.05,13.09,0.45,2.42
2021,2,9,2.05,6.87,0.2,412.91,41.92,133.45,6.02,0.2,1.09
2021,2,10,6.23,7,0.6,409.93,122.74,136.88,16.01,0.54,2.96
2021,2,11,5.98,7.14,0.58,412.77,117.48,140.06,15.48,0.52,2.81
2021,2,12,6.45,6.9,0.62,404.32,125.94,133.98,16.03,0.53,2.95
2021,2,13,5.54,6.97,0.53,410.79,108.45,136.11,14.3,0.49,2.63
2021,2,14,3.16,7.01,0.3,413.49,63.36,136.8,9.12,0.32,1.7
2021,2,15,4.59,6.81,0.44,409.91,89.23,131.31,11.95,0.41,2.16
2021,2,16,6,7.1,0.58,407.4,117.59,138.19,15.51,0.53,2.88
2021,2,17,5.98,7.21,0.57,414.29,118.07,140.72,15.69,0.54,2.96
2021,2,18,6.1,7.25,0.59,407.74,120.58,141.87,16.05,0.55,2.95
2021,2,19,5.94,7.29,0.57,411.97,117.73,142.67,15.71,0.55,3.05
2021,2,20,2.6,7.33,0.25,412.77,52.3,143.37,7.82,0.29,1.53
2021,2,21,4.38,6.92,0.41,419.69,86.07,133.7,11.53,0.41,2.19
2021,2,22,5.72,6.98,0.55,414.48,112.32,135.56,14.77,0.52,2.87
2021,2,23,5.01,6.91,0.48,420.96,99.63,134.7,13.27,0.48,2.6
2021,2,24,4.83,7.12,0.46,416.1,95.24,139.37,13.05,0.46,2.45
2021,2,25,5.35,7.15,0.51,418.46,106.6,140.59,14.43,0.52,2.8
2021,2,26,3.18,7.03,0.3,419.32,64.29,137.11,9.05,0.34,1.81
2021,2,27,3.42,7.21,0.33,418.27,69.05,141.32,10.03,0.37,1.96
2021,2,28,4.81,6.88,0.46,418.4,94.46,133.05,12.68,0.45,2.39
2021,3,1,1.94,6.98,0.19,410.96,40.19,135.48,5.88,0.2,1.06
2021,3,2,4.47,6.8,0.42,415.67,87.83,130.56,11.77,0.41,2.17
2021,3,3,4.51,6.9,0.43,413.53,89.62,133.23,12.04,0.44,2.36
2021,3,4,3.58,6.74,0.34,416.96,71.7,129.84,9.64,0.34,1.81
2021,3,5,3.51,6.9,0.34,412.05,69.84,133.28,9.54,0.34,1.79
2021,3,6,5.73,7.1,0.55,409.16,113.67,138.86,15.05,0.51,2.77
2021,3,7,4.95,7.05,0.47,411.54,98,137.44,13.11,0.44,2.34
2021,3,8,4.98,6.94,0.48,412.2,98.3,134.91,13.04,0.41,2.18
2021,3,9,2.8,6.51,0.27,417.73,55.74,124.64,7.29,0.25,1.3
2021,3,10,3.75,7.12,0.36,408.43,75.16,138.89,10.44,0.34,1.77
2021,3,11,4.45,6.92,0.42,411.53,88.5,134.29,11.91,0.38,2.01
2021,3,12,3.86,6.83,0.37,409.48,76.95,131.88,10.41,0.34,1.79
2021,3,13,4.59,6.72,0.44,404.41,89.63,129.31,11.65,0.35,1.83
2021,3,14,6.05,7.03,0.58,403.9,119.68,136.57,15.67,0.5,2.67
2021,3,15,4.12,6.97,0.39,408.96,81.91,134.88,11.24,0.37,1.91
2021,3,16,4.51,6.92,0.43,406.47,88.57,133.95,11.72,0.38,1.93
2021,3,17,1.81,7.13,0.17,413.32,37.79,139.01,5.56,0.18,0.97
2021,3,18,4.9,6.64,0.47,410.33,95.96,127.19,12.36,0.39,2.05
2021,3,19,5.54,7.11,0.53,407.94,109.09,137.89,14.62,0.46,2.44
2021,3,20,2.62,7,0.25,409.47,53.32,135.64,7.52,0.24,1.25
2021,3,21,5.07,6.84,0.48,404.37,98.88,132.02,12.88,0.4,2.05
2021,3,22,4.23,6.67,0.41,410.49,83.53,127.8,10.87,0.34,1.77
2021,3,23,2.36,6.63,0.23,408.85,47.4,126.77,6.6,0.2,1.06
2021,3,24,5.82,7.02,0.55,405.15,115.09,136.53,15.16,0.47,2.43
2021,3,25,5.1,7.21,0.49,412.28,101.41,141.73,13.94,0.45,2.39
2021,3,26,2.92,7.17,0.28,412.67,58.92,140.48,8.44,0.27,1.36
2021,3,27,5.25,7.13,0.5,415.12,104.02,139.82,14.19,0.46,2.41
2021,3,28,5.02,6.86,0.48,409.48,99.39,133.37,13.29,0.43,2.28
2021,3,29,4.4,6.97,0.42,415.24,87.02,135.63,11.98,0.41,2.11
2021,3,30,3.66,7.05,0.35,413.48,73.12,137.67,10.33,0.34,1.8
2021,3,31,5.49,6.75,0.53,411.65,108.04,130.46,14.02,0.45,2.36
2021,4,1,4.36,7.05,0.42,415.65,87.34,137.83,12.2,0.41,2.12
2021,4,2,4.73,7.06,0.46,415.14,93.31,137.84,12.88,0.43,2.25
2021,4,3,3.74,6.9,0.36,418.91,74.03,133.96,10.33,0.34,1.77
2021,4,4,2.52,7,0.24,416.1,51.06,136.78,7.37,0.25,1.3
2021,4,5,3.45,6.94,0.34,407.69,68.53,135.31,9.58,0.3,1.57
2021,4,6,3.22,6.32,0.31,412.48,63.08,119.47,8.2,0.26,1.34
2021,4,7,5.98,6.87,0.58,406.62,117.11,133.23,15.11,0.47,2.47
2021,4,8,5.18,6.8,0.51,408.23,101.38,131.85,13.48,0.43,2.25
2021,4,9,5.73,6.79,0.56,406.13,111.59,130.94,14.54,0.46,2.45
2021,4,10,5.11,6.82,0.5,410,100.29,131.89,13.32,0.41,2.16
2021,4,11,4.31,6.84,0.42,408.05,84.47,132.67,11.46,0.37,1.91
2021,4,12,5.61,6.81,0.55,406.39,109.89,132.12,14.44,0.45,2.37
2021,4,13,3.49,6.89,0.34,409.24,69.27,134.12,9.6,0.3,1.52
2021,4,14,2.35,6.84,0.23,409.11,47.4,133.28,6.87,0.22,1.12
2021,4,15,6.39,6.91,0.63,401.73,126.14,135.01,16.34,0.5,2.66
2021,4,16,2.28,6.74,0.23,410.59,45.88,131.16,6.52,0.2,1.05
2021,4,17,5.94,6.8,0.59,408.98,117.45,132.84,15.36,0.48,2.55
2021,4,18,4.34,6.8,0.43,415.17,86.03,132.89,11.86,0.38,1.99
2021,4,19,5.27,6.67,0.52,409.3,103.25,129.63,13.6,0.42,2.19
2021,4,20,2.93,6.4,0.29,412.86,57.66,122.98,7.85,0.25,1.27
2021,4,21,3.89,6.5,0.39,420.79,76.87,125.82,10.4,0.34,1.8
2021,4,22,3.08,6.63,0.3,420.12,61.05,128.8,8.63,0.29,1.5
2021,4,23,4.26,6.53,0.42,415.89,84.45,126.88,11.39,0.37,1.9
2021,4,24,5.63,6.8,0.56,409.48,111.21,133.11,14.7,0.46,2.43
2021,4,25,4.67,6.79,0.47,406.79,91.05,132.84,12.51,0.39,2.01
2021,4,26,5.09,6.7,0.52,409.47,100.42,131.02,13.56,0.43,2.27
2021,4,27,3.97,6.55,0.4,408.05,77.77,126.85,10.53,0.33,1.66
2021,4,28,2.1,6.44,0.21,412.57,42.18,124.2,5.9,0.17,0.88
2021,4,29,4.31,5.97,0.44,409.02,82.75,112.96,10.61,0.31,1.62
2021,4,30,3.62,6.46,0.37,411.46,70.65,124.73,9.86,0.31,1.61
2021,5,1,4.96,6.62,0.51,411.14,96.16,128.04,12.82,0.39,2.01
2021,5,2,1.81,6.06,0.19,413.05,35.8,114.7,4.85,0.14,0.73
2021,5,3,4.79,6.09,0.49,402.5,92.45,115.77,11.91,0.35,1.8
